학원교습소명,학원명,개설일자,등록일자,등록상태명,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정명,도로명우편번호,도로명주소,도로명상세주소,구,lat,lon
학원,엠에스솔루션보습학원,20070720,20070720,개원,68,64,입시.검정 및 보습,보통교과,보습,463840,경기도 성남시 분당구 판교로 437,(야탑동/숭문상가) 403호,분당구,37.405726296,127.122433975
학원,엠에스씨브레인컨설팅학원,20150605,20150605,개원,94,171,입시.검정 및 보습,보통교과,보습,463811,경기도 성남시 분당구 성남대로 389,/ 701호/ 702호 (정자동/ 폴라리스빌딩2),분당구,37.370846923,127.107483499
학원,엠연기뮤지컬학원,20070216,20070216,개원,32,50,기타(대),기타(중),연극,463825,경기도 성남시 분당구 백현로101번길 17,(수내동/초림프라자) 409/410호,분당구,37.377479980,127.112509482
학원,엠클래스어학원,20220427,20220427,개원,24,154,국제화,외국어,실용외국어(유아/초·중·고),13637,경기도 성남시 분당구 성남대로 38,/ 7층 일부 (구미동/ 케이엔에프코퍼레이션),분당구,37.339293124,127.109391147
학원,엠클수학학원,20081128,20081128,개원,114,58,입시.검정 및 보습,보통교과,보습,463811,경기도 성남시 분당구 정자일로 240,/ 604호 일부 (정자동/월드 프라자),분당구,37.371556860,127.106287652
학원,엠토피아수학학원,20110602,20110602,개원,224,61,입시.검정 및 보습,보통교과,보습,13599,경기도 성남시 분당구 내정로 170,/ 501호일부 (수내동/ 동신파크빌딩),분당구,37.373482279,127.119677902
교습소,여명수학교습소,20200514,20200514,개원,6,2,입시.검정 및 보습,보통교과,보습,13587,경기도 성남시 분당구 불정로 380,/ 305호 (서현동/ 동남프라자),분당구,37.373983931,127.136860587
교습소,여율가야금배움터가야금교습소,20080109,20080109,개원,10,4,예능(대),예능(중),음악,13600,경기도 성남시 분당구 돌마로356번길 3,/ 410-2호 (수내동/ 그랜드빌딩),분당구,37.369730708,127.123322025
교습소,연상암기한국사교습소,20211022,20211022,개원,6,3,입시.검정 및 보습,보통교과,보습,13600,경기도 성남시 분당구 돌마로 364,/ 411-412호 (수내동/ 현대제일상가),분당구,37.369990360,127.123626496
학원,연세나로국어학원,19981217,19981217,개원,40,61,입시.검정 및 보습,보통교과,보습,463823,경기도 성남시 분당구 돌마로 481,/ 410호 (서현동/분당우성프라자),분당구,37.377735933,127.132867402
